Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
babyGiant/2,0.1967870357413722,0.1965263895261613,0.19705472099705773,3.442718948001082e-4,2.0702706916465413e-4,4.773068183012946e-4
babyGiant/4,0.10092441492923498,0.10069007931458424,0.10119271945996082,3.7250777357237326e-4,2.6553026853017123e-4,5.099465643605784e-4
babyGiant/6,7.36938789503635e-2,7.112369240080327e-2,8.194608876897469e-2,6.999690508919084e-3,1.8837662715926358e-3,1.168755274125845e-2
babyGiant/8,5.330183132637819e-2,5.322026972071541e-2,5.3467275146916265e-2,1.998652149221409e-4,1.1190444517622652e-4,3.187977112356602e-4
babyGiant/10,4.7580378120604366e-2,4.752638352963318e-2,4.7679844936841236e-2,1.3545513756781829e-4,7.545648284950711e-5,2.1645588003950077e-4
babyGiant/12,4.066182669628231e-2,4.054243935459618e-2,4.092113794495834e-2,3.4141878222998127e-4,1.4672577132484934e-4,5.719418776515589e-4
babyGiant/14,3.8906788769531575e-2,3.883683341953408e-2,3.900749818830431e-2,1.6168488526643933e-4,1.2145159139128493e-4,2.2140363023574403e-4
babyGiant/16,3.5295422458490704e-2,3.481922651142752e-2,3.6180746431894555e-2,1.320770379335758e-3,7.010590401627471e-4,1.7978389719509502e-3
babyGiant/18,3.550032667822088e-2,3.53697968937896e-2,3.566120739083265e-2,2.8989781907574777e-4,2.149027053998884e-4,3.721736876645692e-4
babyGiant/20,3.3715584857480496e-2,3.362450188564499e-2,3.38515469525066e-2,2.2532010326391106e-4,1.6603283227676184e-4,3.1263729875777535e-4
babyGiant/22,3.5033160739070375e-2,3.3965003077434344e-2,3.8986412203542e-2,3.853583436819152e-3,6.090158210015427e-4,7.194072910943584e-3
babyGiant/24,3.305445429641127e-2,3.296693715771878e-2,3.328502796350057e-2,2.634684764055358e-4,1.0933256588483536e-4,4.750417666362398e-4
babyGiant/26,3.489389445001197e-2,3.480200468987833e-2,3.5012816456512254e-2,2.168071336528255e-4,1.545452092443517e-4,2.87291590364794e-4
babyGiant/28,3.6334416357719494e-2,3.5085982531929336e-2,4.096901254667445e-2,4.450275031063857e-3,4.6785180349535465e-4,8.463631241773628e-3
babyGiant/30,3.6008695335452354e-2,3.5914324045894876e-2,3.6176920806695205e-2,2.551771132444319e-4,1.5218551700549974e-4,3.9944984602551865e-4
babyGiant/32,3.563950422857882e-2,3.557283052403706e-2,3.5754780078243155e-2,1.784835606460714e-4,1.1644406431767449e-4,2.2796872572459505e-4
babyGiant/34,3.8089612940104114e-2,3.773540818897242e-2,3.94967856831386e-2,1.2133055310959088e-3,1.2962439530403335e-4,2.148080058889058e-3
babyGiant/36,3.8838989326623906e-2,3.812973890221256e-2,4.096653712052671e-2,2.065637318733137e-3,8.934227910710192e-5,3.7069046471161324e-3
babyGiant/38,4.069682956803509e-2,4.0599711452483124e-2,4.0872248528747934e-2,2.490773520138791e-4,1.1493916088271553e-4,3.642962135959715e-4
babyGiant/40,4.084239969301184e-2,4.07133090604102e-2,4.1103037952282616e-2,3.725922007958946e-4,1.6100791673686045e-4,5.442465184949244e-4
